Days,A,B,C,D,E,F,G,H
51,107.7469042,101.7044357,195.3851482,109.4366156,167.0947015,96.48277807,89.26060647,102.6299537
52,108.5642606,102.4068935,186.3590073,99.61290718,192.2953575,96.58302153,87.82617793,103.4276524
53,109.190175,100.7895569,173.600275,96.63699286,204.3338334,96.64789737,88.30433347,102.6797125
54,109.5525671,101.2186517,159.0430948,97.37297257,201.6050885,98.76690108,92.68306881,103.3618899
55,111.5785866,104.0978072,180.6583065,95.32501924,222.0706351,100.2486818,92.53207794,103.7400753
56,112.676669,104.7816071,179.8099861,95.22903277,209.9518592,98.92006177,90.30495493,103.7365781
57,115.0655109,105.7980619,201.0179948,89.14922218,190.1284088,100.4054587,91.39962353,103.3692179
58,113.5104279,103.4234397,196.8103202,96.7650082,213.0818161,99.24737042,93.26187986,103.5241313
59,114.0835251,100.9565925,213.5391984,91.29316198,182.9855305,100.0565701,92.99764583,104.3438446
60,115.5256545,99.09512115,203.7665444,89.8851852,175.9229683,100.7490426,93.13608715,104.0407704
61,116.6024757,97.47799196,206.2775783,89.08521451,150.5617281,102.2528846,92.46915492,104.2366567
62,116.7550286,98.24381029,390.5327418,82.23746212,163.2423802,102.7416071,90.77053045,104.5972663
63,116.442989,98.786054,425.1102874,77.82158387,156.9823703,106.79468,89.52484812,104.5152453
64,115.9747759,98.48500326,559.4502849,81.59746888,140.1284529,106.1074764,92.67046592,105.8039269
65,115.6846653,98.23225737,402.0359895,90.52516174,148.6355515,104.2320914,91.62611746,105.0897629
66,114.6944361,99.56395627,380.9976294,92.06112048,149.4381838,101.5843775,89.34869718,103.6820454
67,115.396031,97.84900109,419.8507168,93.46909727,157.1428743,101.9027176,90.39304564,103.3832242
68,115.3491425,96.55519086,485.0695632,94.90905285,169.8234303,103.7781193,90.15397168,102.8791762
69,114.8971318,96.92109351,456.3624317,79.35752592,174.6388399,104.3503548,91.39962353,103.0402697
70,114.7582254,96.11259434,438.6834129,85.98133494,191.0112611,105.6938709,93.12344616,102.6301173
71,115.5186529,95.21778444,437.258241,89.02124858,189.5666767,103.8058015,93.80291272,103.5531952
72,116.1390341,92.73895589,489.5826337,87.3572745,187.47998,104.9181219,92.73338133,105.0569352
73,113.3461434,93.47248551,476.8239143,91.83711867,183.7881789,103.4182542,93.12344616,105.5616398
74,113.7866775,92.41664426,489.6505138,93.43710178,172.070599,102.8698748,90.55662417,106.2337504
75,112.571005,92.55228176,427.7909828,88.57323661,176.7255686,104.1924262,87.12158941,106.0831591
