Date,Open,High,Low,Close,Adj Close,Volume
2005/3/10,121.1999969,121.5,120.4000015,121.2399979,85.23241425,65149000
2005/3/11,121.3099976,121.7200012,120.1600037,120.3899994,84.63484192,57976500
2005/3/14,120.6100006,121.1600037,120.2799988,121.1399994,85.162117,36336400
2005/3/15,121.4199982,121.4599991,120.0800018,120.1399994,84.45908356,62438500
2005/3/16,119.6999969,120.1600037,118.9000015,119.1200027,83.74203491,74874200
2005/3/17,119.3099976,119.7399979,118.9800034,119.3600006,83.91075134,62584200
2005/3/18,119.1100006,119.5299988,118.1500015,118.5400009,83.66161346,60232000
2005/3/21,118.7099991,118.7799988,117.7600021,118.0999985,83.35106659,61244300
2005/3/22,118.3700027,118.9300003,116.9000015,116.9000015,82.50417328,92472400
2005/3/23,116.9499969,117.7200012,116.75,117,82.57472229,70817300
2005/3/24,117.4599991,117.9899979,117.0599976,117.1399994,82.67353058,51932500
2005/3/28,117.4199982,117.9400024,117.3099976,117.3099976,82.79349518,46765500
2005/3/29,117.1399994,117.9000015,116.25,116.5299988,82.2430191,71160300
2005/3/30,116.7799988,118.1999969,116.7699966,118.1800003,83.40753174,62002100
2005/3/31,118.1900024,118.4599991,117.8700027,117.9599991,83.25226593,64575400
2005/4/1,118.6299973,118.9899979,116.9100037,117.4300003,82.87822723,95255300
2005/4/4,117.3600006,117.8600006,116.7399979,117.6299973,83.01931763,71581200
2005/4/5,117.7799988,118.3799973,117.6699982,118.1900024,83.41458893,46853900
2005/4/6,118.4499969,118.9499969,118.1800003,118.5999985,83.70396423,53268200
2005/4/7,118.4100037,119.2600021,118.3199997,119.2399979,84.15563202,46734600
2005/4/8,119.1699982,119.2099991,118,118,83.28049469,63772900
2005/4/11,118.2900009,118.4199982,117.8300018,118.0899963,83.34401703,44945000
2005/4/12,117.8899994,119.0599976,117.0699997,118.6999969,83.7745285,86144800
2005/4/13,118.5599976,118.8000031,117.1299973,117.3000031,82.78647614,65949000
2005/4/14,117.4000015,117.5,115.7699966,115.7699966,81.706604,96119800
2005/4/15,115.7399979,116.1999969,114.0999985,114.1500015,80.56328583,128677300
2005/4/18,114.1200027,114.9599991,113.9599991,114.5,80.81031799,100035200
2005/4/19,115.0999985,115.5299988,114.8300018,115.4100037,81.45256042,64930100
2005/4/20,115.3799973,115.6299973,113.5500031,113.8000031,80.31629181,107735900
2005/4/21,114.7900009,116.2099991,114.3799973,116.0100021,81.87599182,86952200
2005/4/22,115.7399979,116.5,114.2699966,115.5699997,81.56549072,88845800
2005/4/25,115.8600006,116.5,115.7200012,116.3300018,82.10183716,52284100
2005/4/26,115.9599991,116.7699966,115.1500015,115.1999969,81.30437469,72626000
2005/4/27,114.8600006,116.0699997,114.4400024,115.6500015,81.62192535,84131900
2005/4/28,115.2699966,115.6800003,114.1999969,114.1999969,80.59856415,72481500
2005/4/29,115.0699997,115.8700027,113.9700012,115.75,81.69252777,103993800
2005/5/2,116.0699997,116.4100037,115.5199966,116.4000015,82.15126801,56026400
2005/5/3,116.0699997,116.8499985,115.6900024,116.5999985,82.29240417,86000300
2005/5/4,116.6500015,117.75,116.2799988,117.5,82.92763519,81055700
2005/5/5,117.6699982,118,116.7399979,117.4599991,82.89937592,96906700
2005/5/6,117.9300003,117.9899979,117.0599976,117.0899963,82.63822937,67415400
2005/5/9,117.2099991,118.0800018,117.0500031,117.8199997,83.15343475,43750500
2005/5/10,117.3600006,117.5,116.3899994,116.5999985,82.29240417,74613500
2005/5/11,116.9300003,117.4000015,115.8499985,117.2399979,82.74409485,91647400
2005/5/12,117.3199997,117.5899963,115.9499969,115.9499969,81.83364105,95086800
2005/5/13,116.3000031,116.6200027,114.8000031,115.7200012,81.67134094,85267000
2005/5/16,115.6999969,116.8399963,115.6600037,116.8000031,82.43359375,49207000
2005/5/17,116.4100037,117.6999969,116.1600037,117.5800018,82.98407745,61071800
2005/5/18,118.0899963,119.0800018,118.0100021,118.7900009,83.83803558,77944900
2005/5/19,119.0199966,119.4100037,118.6999969,119.2900009,84.19094849,61768100
2005/5/20,119.3399963,119.3899994,118.7399979,119.1200027,84.07093811,46345500
2005/5/23,119.2099991,120.0400009,119.1900024,119.7799988,84.53674316,51047900
2005/5/24,119.4400024,119.8300018,119.1999969,119.5,84.33913422,50654100
2005/5/25,119.3499985,119.8700027,118.8300018,119.4100037,84.27561188,47608800
2005/5/26,119.7900009,120.2099991,119.6200027,120.0500031,84.72731018,43256200
2005/5/27,120.0599976,120.25,119.8000031,120.25,84.86849976,24596100
2005/5/31,120.0800018,120.1699982,119.4000015,119.4800034,84.32500458,43377200
2005/6/1,119.5199966,120.9199982,119.4499969,120.5,85.04492188,69611000
2005/6/2,120.2300034,120.8399963,120.0999985,120.7600021,85.22841644,39704500
2005/6/3,120.5500031,120.8899994,119.7300034,120.1500015,84.79789734,60999400
2005/6/6,119.9499969,120.1999969,119.5500031,120.0400009,84.72028351,36046400
2005/6/7,120.3899994,121.25,120.0100021,120.1299973,84.78378296,66501300
2005/6/8,120.4300003,120.5899963,119.6699982,119.9100037,84.62850952,46881200
2005/6/9,119.7399979,120.5800018,119.4400024,120.4800034,85.03079224,56653300
2005/6/10,120.5599976,120.6500015,119.5999985,120.1999969,84.8331604,36465300
2005/6/13,119.9400024,121.0800018,119.8099976,120.5800018,85.10137177,49383200
2005/6/14,120.4499969,121.1999969,120.3799973,120.8600006,85.29895782,33857100
2005/6/15,121.1600037,121.2399979,120.2300034,121.0899963,85.46130371,53195600
2005/6/16,121.0599976,121.6399994,120.9199982,121.4000015,85.68013,46564500
2005/6/17,121.5400009,121.9000015,121.2200012,121.3600006,85.99757385,51529400
2005/6/20,121.0800018,121.8399963,120.9400024,121.4000015,86.02592468,41019400
2005/6/21,121.5,121.6500015,121.0299988,121.4700012,86.07552338,39879800
2005/6/22,121.6800003,121.9400024,121.0699997,121.5699997,86.14640045,46310100
2005/6/23,121.3199997,121.5999985,119.8300018,119.8600006,84.93463135,62185600
2005/6/24,119.8799973,120.0100021,118.8399963,118.9800034,84.31104279,58572500
2005/6/27,118.9700012,119.4100037,118.75,119.1500015,84.4315567,48183800
2005/6/28,119.4000015,120.2399979,119.3700027,120.1500015,85.14014435,41174200
2005/6/29,120.3700027,120.4000015,119.7600021,119.8300018,84.913414,42316500
2005/6/30,120.2200012,120.3199997,118.9499969,119.1800003,84.45276642,62288800
2005/7/1,119.4499969,119.8000031,119.2099991,119.5299988,84.70080566,49737500
2005/7/5,119.25,120.6500015,119.1900024,120.4899979,85.381073,51549000
2005/7/6,120.3899994,120.6500015,119.4100037,119.4800034,84.6653595,52363600
2005/7/7,118.2900009,119.9499969,118.2600021,119.9499969,84.99841309,103268800
2005/7/8,119.9700012,121.3199997,119.7200012,121.3199997,85.96920013,64491200
2005/7/11,121.3300018,122.0999985,121.3099976,121.9400024,86.40855408,49688300
2005/7/12,121.9899979,122.6299973,121.6399994,122.2600021,86.63529968,51871100
2005/7/13,122.2699966,122.5199966,121.9899979,122.4300003,86.75580597,41182300
2005/7/14,122.9800034,123.4400024,122.4899979,122.9100037,87.09593964,63638800
2005/7/15,122.7900009,123.0400009,122.3600006,122.8399963,87.04631042,56075900
2005/7/18,122.5,122.6299973,122.0500031,122.3499985,86.69906616,56598400
2005/7/19,122.7099991,123.1100006,122.4100037,123.0199966,87.17385864,59165700
2005/7/20,122.5899963,123.7300034,122.3000031,123.4400024,87.47148895,69477000
2005/7/21,123.5500031,123.6100006,122.4700012,122.7200012,86.96126556,101110900
2005/7/22,122.8799973,123.5599976,122.6299973,123.5400009,87.54232025,52607100
2005/7/25,123.4100037,123.9499969,122.8499985,123.1900024,87.29431152,57301600
2005/7/26,123.2300034,123.5299988,122.9499969,123.3399963,87.40060425,42758800
2005/7/27,123.5,123.8899994,123.0500031,123.7900009,87.71952057,43181600
2005/7/28,123.9599991,124.6399994,123.6399994,124.5699997,88.27224731,47880700
2005/7/29,124.4100037,124.6299973,123.5,123.7399979,87.68405914,62358100
2005/8/1,123.8300018,124.0400009,123.4499969,123.6500015,87.62029266,40418200
2005/8/2,123.8700027,124.5999985,123.7399979,124.3899994,88.14464569,45147400
2005/8/3,124.25,124.7399979,124.1200027,124.7200012,88.37851715,36837200
2005/8/4,124.2300034,124.3099976,123.5699997,123.7200012,87.66989899,50855600
2005/8/5,123.4499969,123.9800034,122.6699982,122.8799973,87.07463837,53595500
2005/8/8,123.1500015,123.4100037,122.3799973,122.6500015,86.91168976,47616000
2005/8/9,123.0599976,123.5899963,122.8700027,123.3899994,87.43604279,47170000
2005/8/10,123.8199997,124.5,122.8199997,123.3300018,87.39352417,72863700
2005/8/11,123.2699966,124.0299988,123.0100021,123.8199997,87.7407608,58570200
2005/8/12,123.5699997,123.6900024,122.75,123.0599976,87.20220947,54776900
2005/8/15,123.2200012,123.8700027,122.8300018,123.8199997,87.7407608,36208500
2005/8/16,123.4400024,123.5199966,122.0899963,122.2099991,86.5998764,71942100
2005/8/17,122.1900024,122.8700027,122.0299988,122.1999969,86.59280396,62275100
2005/8/18,122.0500031,122.5599976,121.8399963,122.1900024,86.58570099,53388600
2005/8/19,122.6299973,122.8199997,122.1999969,122.4700012,86.78411102,39842100
2005/8/22,122.5800018,123.2300034,121.8799973,122.4700012,86.78411102,69912000
2005/8/23,122.5,122.6100006,121.1500015,122.2399979,86.62116241,55168600
2005/8/24,121.9400024,122.7300034,121.0899963,121.1500015,85.84874725,79104600
2005/8/25,121.3499985,121.6699982,121.2099991,121.5899963,86.1605835,35631100
2005/8/26,121.4800034,121.4899979,120.6800003,120.7600021,85.57238007,61956800
2005/8/29,120.4100037,121.7799988,120.3799973,121.6900024,86.23138428,56179200
2005/8/30,121.25,121.3000031,120.3899994,121.0500031,85.77790833,74160200
2005/8/31,121.1900024,122.6600037,120.7399979,122.5800018,86.86209106,102945200
2005/9/1,122.5199966,123.1500015,121.1399994,122.4899979,86.7983017,74578700
2005/9/2,122.8499985,122.8799973,122.0400009,122.2699966,86.64239502,47653400
2005/9/6,122.6600037,123.8000031,122.6500015,123.6999969,87.65570068,57251300
2005/9/7,123.6299973,124.1299973,123.4599991,123.9100037,87.80454254,41749700
2005/9/8,123.6600037,124,123.3099976,123.5,87.51399994,39068700
2005/9/9,123.8300018,124.7399979,123.8000031,124.5999985,88.29346466,43093900
2005/9/12,124.4499969,124.6699982,124.2699966,124.3499985,88.11633301,33017600
2005/9/13,124.1299973,124.4199982,123.5199966,123.6600037,87.62736511,58427500
2005/9/14,123.7399979,123.9199982,123.0199966,123.2099991,87.30848694,57694600
2005/9/15,123.5899963,123.6500015,122.9000015,123.1500015,87.26598358,73156900
2005/9/16,123.3000031,123.7399979,122.8700027,123.5,87.88652802,75424100
2005/9/19,123.4700012,123.5500031,122.6399994,123.0899963,87.59474945,53355300
2005/9/20,123.1999969,123.6100006,121.8700027,122.0500031,86.85466766,84480300
2005/9/21,121.7900009,121.8700027,120.7799988,120.9100037,86.04341888,94469100
2005/9/22,120.9499969,121.6600037,120.4400024,121.3399963,86.34940338,84597200
2005/9/23,121.2399979,121.8899994,120.9000015,121.4400024,86.42059326,59368100
2005/9/26,122.0199966,122.2399979,121.0800018,121.5800018,86.52019501,70415400
2005/9/27,121.5199966,121.9899979,121.0199966,121.5500031,86.49889374,66150800
2005/9/28,121.9300003,122.1200027,121.1999969,121.6699982,86.58421326,58620500
2005/9/29,121.5500031,122.8600006,121.0800018,122.6600037,87.28874207,66607700
2005/9/30,122.6200027,123.0400009,121.7399979,123.0400009,87.55917358,47824200
2005/10/3,122.9599991,123.3399963,122.4499969,122.5999985,87.24607086,50994800
2005/10/4,122.7900009,123.0299988,121.1600037,121.2200012,86.26403046,60776300
2005/10/5,121.25,121.3099976,119.5699997,119.6299973,85.13251495,106052100
2005/10/6,119.7799988,120.2600021,118.1699982,119.1999969,84.82649231,140941800
2005/10/7,119.6999969,120.0500031,119.1299973,119.6100006,85.1182785,75661400
2005/10/10,119.6800003,119.7099991,118.3000031,118.5999985,84.39953613,52677000
2005/10/11,118.9899979,119.3899994,118.3199997,118.4300003,84.27854919,75629800
2005/10/12,118.3899994,119.1299973,117.4100037,117.5,83.61672974,100510400
2005/10/13,117.4599991,118.0800018,116.8799973,117.4300003,83.56693268,99052900
2005/10/14,118.1200027,118.8099976,117.5599976,118.6699982,84.44934845,88651000
2005/10/17,118.8000031,119.2699966,118.4499969,119.1100006,84.76244354,68109300
2005/10/18,118.9400024,118.9599991,117.8000031,117.8199997,83.84443665,74996900
2005/10/19,117.5,119.8000031,117.1200027,119.7799988,85.23923492,116563800
2005/10/20,119.4899979,119.8099976,117.3000031,117.6699982,83.73770142,131966700
2005/10/21,118.2900009,118.7799988,117.5100021,118.1299973,84.06504822,96579500
2005/10/24,118.4400024,120.0899963,118.4100037,119.9599991,85.36734772,71308400
2005/10/25,119.7200012,120.2399979,118.9400024,119.7200012,85.19658661,76594500
2005/10/26,119.5100021,120.5400009,119.1900024,119.3700027,84.94750214,80855800
2005/10/27,119.1999969,119.3700027,117.9300003,118.0999985,84.04373169,66623100
2005/10/28,118.4300003,119.9499969,118.0999985,119.8000031,85.25348663,72322000
2005/10/31,120.2900009,121.3000031,120.1299973,120.1299973,85.48833466,77698900
2005/11/1,120.5800018,120.9000015,120.2200012,120.4899979,85.74451447,66365100
2005/11/2,120.1699982,121.75,120.1299973,121.75,86.64117432,74012300
2005/11/3,122.1500015,122.6600037,121.75,122.2699966,87.01121521,84897600
2005/11/4,122.4000015,122.4599991,121.5500031,122.1100006,86.89737701,59156000
2005/11/7,122.3700027,122.6200027,121.8499985,122.2300034,86.98277283,46765400
2005/11/8,121.9300003,122.4199982,121.7900009,122.2300034,86.98277283,42152800
2005/11/9,122.0800018,122.9499969,121.8600006,122.3899994,87.09663391,57666800
2005/11/10,122.3399963,123.5199966,121.75,123.3399963,87.77264404,79048100
2005/11/11,123.3499985,123.8399963,122.4300003,123.7600021,88.07155609,34867000
2005/11/14,123.7900009,124.0199966,123.3799973,123.6900024,88.02173615,45092200
2005/11/15,123.5500031,124.0899963,122.8600006,123.2399979,87.70149994,69592500
2005/11/16,123.3700027,123.5500031,122.9800034,123.4899979,87.87940216,51133000
2005/11/17,123.6800003,124.6500015,123.1399994,124.6399994,88.69781494,55717500
2005/11/18,125.0599976,125.2799988,124.3300018,125.1299973,89.04651642,72437200
2005/11/21,125.1500015,125.9100037,124.9800034,125.7600021,89.49481964,50021200
2005/11/22,125.5599976,126.5199966,125.4199982,126.3000031,89.87909698,66438800
2005/11/23,126.25,127.4100037,126.2099991,127.0299988,90.39859009,50854700
2005/11/25,126.9800034,127.2200012,126.8099976,127.1299973,90.46973419,15270000
2005/11/28,127.25,127.2699966,126.0400009,126.2300034,89.82927704,54498500
2005/11/29,126.6500015,126.9800034,126.0899963,126.0899963,89.7296524,51738900
2005/11/30,126.1600037,126.5199966,125.2900009,125.4100037,89.2457428,56007200
2005/12/1,126.0199966,127.0299988,125.9800034,126.6900024,90.15661621,65468200
2005/12/2,126.7699966,127.0800018,126.5,126.8499985,90.27048492,46699400
2005/12/5,126.6999969,126.7300034,126.1800003,126.5800018,90.07834625,59273400
2005/12/6,127.0500031,127.7399979,126.6299973,126.8199997,90.2491684,57935200
2005/12/7,126.7699966,126.8700027,125.6800003,126.0800018,89.72254181,66816500
2005/12/8,126.2200012,126.8199997,125.4800034,126,89.66558075,62608600
2005/12/9,126.1600037,126.7799988,125.8199997,126.3300018,89.90045929,50744500
2005/12/12,126.7099991,126.8600006,125.9599991,126.4499969,89.98581696,48389900
2005/12/13,126.4199982,127.6999969,126.2900009,127.3099976,90.5978241,88630900
2005/12/14,127.1900024,128.0899963,127.1399994,127.8099976,90.95366669,64375000
2005/12/15,127.8399963,128,127.1800003,127.4400024,90.69033813,55900300
2005/12/16,127.2799988,127.3600006,126.3600006,126.3600006,90.39845276,46238300
2005/12/19,126.7300034,126.8700027,125.6900024,125.7099991,89.93346405,48733000
2005/12/20,125.8600006,126.5899963,125.4800034,125.8300018,90.01929474,46603200
2005/12/21,126.2200012,126.7600021,125.8000031,126.0299988,90.1623764,51806900
2005/12/22,126.3099976,126.6900024,126.0800018,126.6900024,90.63455963,32247900
2005/12/23,126.7799988,126.8600006,126.4199982,126.7600021,90.68465424,27977300
2005/12/27,126.9599991,127.0500031,125.3799973,125.4700012,89.76176453,44499500
2005/12/28,125.7399979,125.9899979,125.5,125.75,89.96205902,30764300
2005/12/29,125.7200012,125.9599991,125.0599976,125.1900024,89.56145477,32788900
2005/12/30,124.8000031,125.0599976,124.3600006,124.5100021,89.07496643,44645600
2006/1/3,125.1900024,127,124.3899994,126.6999969,90.64170837,73256700
2006/1/4,126.8600006,127.4899979,126.6999969,127.3000031,91.07096863,51899600
2006/1/5,127.1500015,127.5899963,126.8799973,127.3799973,91.12815094,47307500
2006/1/6,128.0200043,128.5800018,127.3600006,128.4400024,91.88651276,62885900
2006/1/9,128.4199982,129.0599976,128.3800049,128.7700043,92.122612,43527400
2006/1/10,128.3899994,128.9799957,128.2599945,128.8999939,92.21557617,44960800
2006/1/11,129.0200043,129.4400024,128.7299957,129.3099976,92.50888824,49598900
2006/1/12,129.0800018,129.2799988,128.4400024,128.8000031,92.1440506,40509200
2006/1/13,128.5700073,128.8999939,128.1999969,128.6799927,92.05821228,44856700
2006/1/17,128.1999969,128.4199982,127.8099976,128.3300018,91.80782318,52066600
2006/1/18,127.5800018,128.8999939,127.1600037,127.8199997,91.44293976,75067600
2006/1/19,128.1300049,128.7700043,127.8099976,128.3099976,91.79351044,81530400
2006/1/20,128.2799988,128.3099976,125.9700012,125.9700012,90.11943817,114957800
2006/1/23,126.2099991,126.8199997,126.1299973,126.4199982,90.44139099,67017400
2006/1/24,126.6299973,127.1500015,126.4199982,126.5500031,90.53440094,53008800
2006/1/25,127.0400009,127.1800003,125.8399963,126.6600037,90.61309052,87747700
2006/1/26,127.25,127.6699982,126.7600021,127.3600006,91.11385345,71294000
2006/1/27,127.6600037,128.6600037,127.4499969,128.5399933,91.95805359,65771200
2006/1/30,128.4400024,128.8099976,128.3500061,128.4400024,91.88651276,33709600
2006/1/31,128.3200073,128.5399933,127.4899979,127.5,91.21401978,72937000
2006/2/1,127.8199997,128.4299927,127.7200012,128.3899994,91.8507309,63561000
2006/2/2,128.1000061,128.1399994,126.8000031,126.9000015,90.78478241,83626900
2006/2/3,126.5800018,128.3899994,126.1399994,126.2699966,90.33409882,86040400
2006/2/6,126.4400024,126.8000031,126.1699982,126.5999985,90.57019043,45511900
2006/2/7,126.3799973,126.6600037,125.4000015,125.4800034,89.7689209,71208100
2006/2/8,125.8499985,128.1000061,125.5999985,126.6200027,90.58448029,59422200
2006/2/9,126.9199982,127.5999985,126.3700027,126.4100037,90.43425751,62023300
2006/2/10,126.4300003,127.1299973,125.4499969,126.6399994,90.59877777,64508700
2006/2/13,126.5999985,126.7900009,125.9499969,126.4100037,90.43425751,52308700
2006/2/14,126.4599991,128.0299988,126.2099991,127.75,91.39287567,90964400
2006/2/15,127.6800003,128.3200073,127.2399979,128.1999969,91.71479797,85471300
2006/2/16,128.3399963,129.2100067,128.1799927,129.1600037,92.40158844,61017900
2006/2/17,129.0500031,129.1600037,128.5800018,128.8099976,92.15119171,40342600
2006/2/21,129.1100006,129.3999939,128.2899933,128.4900055,91.92229462,46456300
2006/2/22,128.7700043,129.6499939,128.6499939,129.2700043,92.48030853,42326700
2006/2/23,129.2700043,129.6399994,128.2799988,129.0800018,92.34436035,43423200
2006/2/24,129.1100006,129.4799957,128.7599945,129.4100037,92.58047485,36777400
2006/2/27,129.3999939,130.0399933,129.2799988,129.4600067,92.61624908,35858600
2006/2/28,129.1999969,129.9100037,128.1300049,128.2299957,91.73626709,74394800
2006/3/1,128.6000061,129.4900055,128.5,129.3699951,92.55184937,48641600
2006/3/2,128.8999939,129.4199982,128.6100006,129.3600006,92.54469299,60642300
2006/3/3,128.6699982,130.0700073,128.6499939,128.7599945,92.11542511,73402500
2006/3/6,129.1399994,129.1799927,127.8499985,128.1699982,91.69333649,57478400
2006/3/7,127.8600006,128.0599976,127.4000015,127.9700012,91.55025482,61780800
2006/3/8,127.6999969,128.4400024,127.1800003,128.2400055,91.74343109,66692400
2006/3/9,128.2799988,128.6799927,127.3799973,127.3799973,91.12815094,56313600
2006/3/10,127.7099991,128.8399963,127.4400024,128.5899963,91.99381256,60490800
2006/3/13,128.8399963,129.1600037,128.5299988,128.8300018,92.16550446,45479100
2006/3/14,128.7100067,130.2299957,128.6100006,130.1799927,93.13132477,69877300
2006/3/15,130.1499939,130.8600006,129.8500061,130.7599945,93.54624939,53398900
2006/3/16,131.0099945,131.4700012,130.8399963,131.0299988,93.73937225,65526400
2006/3/17,130.6799927,130.8999939,130.3800049,130.6199951,93.81770325,47286800
2006/3/20,130.6399994,130.8999939,130.2100067,130.4100037,93.66690063,45538500
2006/3/21,130.3699951,130.9900055,129.4499969,129.5899963,93.07793427,87102700
2006/3/22,129.5099945,130.5099945,129.4499969,130.3800049,93.64533997,51605700
2006/3/23,130.2599945,130.3899994,129.6600037,130.1100006,93.45133972,46704200
2006/3/24,129.9900055,130.5700073,129.7400055,130.2100067,93.52321625,43209200
2006/3/27,130.0299988,130.2799988,129.7400055,130.0200043,93.38674927,32523000
2006/3/28,129.9299927,130.5299988,129.0500031,129.2200012,92.81217194,82079900
2006/3/29,129.4100037,130.5,129.2899933,130.0299988,93.39393616,61505700
2006/3/30,130.1100006,130.9799957,129.5500031,129.8000031,93.22872162,70571700
2006/3/31,130.0200043,130.2400055,129.3699951,129.8300018,93.25028229,62925600
2006/4/3,130.0700073,130.8699951,129.4900055,129.7299957,93.17844391,61624700
2006/4/4,129.7299957,130.7299957,129.3600006,130.5599976,93.77458954,54809300
2006/4/5,130.6100006,131.2799988,130.3800049,131.0099945,94.09781647,50607200
